Key,Description,Standard,EL,AR,FR
SAY.Flowchart.464.Major Herpes,,"However, surprise attacks could also be launched at the Throat 
Canal and the Ocular Hills.","Ωστόσο, αιφνιδιαστικές επιθέσεις θα μπορούσαν επίσης να εξαπολυθούν στο στη διώρυγα του Λαιμού και τους οφθαλμικούς λόφους.","ومع ذلك، يمكن أيضا شن مفاجئة على قناة الحلق وتلال العين. ","Cependant, des attaques surprises pourraient également être lancées sur le Canal de la Gorge et les Collines Oculaires."
SAY.Flowchart.151.General Gonorrhea,,"Thank you, Major Herpes. Colonel Chlamydia, what is the plan once your troops reach the 
objective?","Σας ευχαριστώ, Ταγματάρχα Έρπη. Συνταγματάρχη Χλαμύδια, ποιο είναι το σχέδιο μόλις τα στρατεύματά σας φτάσουν στο στόχο;","شكرا لرائد الهربس. كورونيل الكلاميديا، ما هي الخطة بمجرد وصول قواتك للهدف؟","Merci, Majeur Herpès. Colonel Chlamydia, quel est le plan une fois que vos troupes auront atteint l'objectif ?"
SAY.Flowchart.157.Colonel Chlamydia,,"Yes, General. We will cause all sorts of havoc in the enemy's urinary and reproductive systems!","Ναι, Στρατηγέ. Θα προκαλέσουμε κάθε είδους καταστροφή στο ουροποιητικό και αναπαραγωγικό σύστημα του εχθρού!","نعم، جنرال، سوف نتسبب في كل أنواع الخراب في الجهاز البولي والتناسلي للعدو!","Oui, Général. Nous allons causer toutes sortes de ravages dans les systèmes urinaires et reproducteurs de l'ennemi !"
SAY.Flowchart.158.General Gonorrhea,,"That is great. It seems as if the plan is all set. We will attack by Friday night when the enemy 
least expects it. I am proud of you, STIs.","Ωραία. Φαίνεται ότι το σχέδιο είναι έτοιμο. Θα επιτεθούμε μέχρι την Παρασκευή το βράδυ, όταν ο εχθρός δεν θα το περιμένει. Είμαι περήφανος για εσάς, ΣΜΝ.","هذا عظيم، يبدو كما لو أن الخطة قد تم إعدادها بالكامل. سنهاجم ليلة الجمعة عندما لا يتوقعها العدو. أنا فخور بكم، أيتها الأمراض المنقولة جنسيا","C'est génial. Il semble que le plan soit prêt. Nous attaquerons vendredi soir quand l'ennemi s'y attendra le moins. Je suis fier de vous, MST "
SAY.Flowchart.160.,,Act II - D-Day,Πράξη II - Ημέρα της Αποκάλυψης (D-Day),الفصل الثاني- اليوم الموعود,Acte II - Le jour promis
SAY.Flowchart.161.General Gonorrhea,,"Fellow STIs, the reports from the battlefield are not what we expected.","Σύντροφοι ΣΜΝ, οι αναφορές από το πεδίο της μάχης δεν είναι αυτές που περιμέναμε.","أيها الرفاق، أيتها الأمراض جنسيا، لم تكن التقارير الواردة من ساحة المعركة كما توقعنا. ","Amis MST, les rapports du champ de bataille ne sont pas ceux que nous attendions."
SAY.Flowchart.465.General Gonorrhea,,"Sergeant Syphilis, what is the last update from your troops on the ground?","Λοχία Σύφιλη, ποια είναι η τελευταία ενημέρωση από τα στρατεύματά σας στην ξηρά;","أيها الرقيب الزهري، ما هو آخر تحديث من قواتك على الأرض؟","Sergent Syphilis, quelles sont les dernières nouvelles de vos troupes sur le terrain ?"
SAY.Flowchart.171.Sergeant Syphilis,,{i}Thanks!{/i},{i}Ευχαριστώ! {/i},شكرا,Merci ! 
SAY.Flowchart.467.Sergeant Syphilis,,"However, although we showed some progress after three weeks of the campaign, we have failed 
to obtain a firm grasp on the area, Sir.","Ωστόσο, αν και σημειώσαμε κάποια πρόοδο μετά από τρεις εβδομάδες εκστρατείας, δεν καταφέραμε να εδραιωθούμε στην περιοχή, κύριε.","ومع ذلك، على الرغم من أننا أظهرنا بعض التقدم بعد ثلاثة أسابيع من الحملة، فقد فشلنا في الحصول على احتلال قوي للمنطقة، يا سيدي.","Cependant, bien que nous ayons montré quelques progrès après trois semaines de campagne, nous n'avons pas réussi à obtenir une prise en main ferme de la zone, Monsieur."
SAY.Flowchart.170.General Gonorrhea,,"Could you please elaborate on the reasons for your failing, Sergeant?","Θα μπορούσατε, παρακαλώ, να αναλύσετε τους λόγους της αποτυχίας σας, Λοχία;","هل يمكنك من توضيح أسباب فشلك، أيها الرقيب؟","Pourriez-vous nous expliquer les raisons de votre échec, sergent ?"
SAY.Flowchart.169.Sergeant Syphilis,,"Sir, the locals are fighting back with first-generation antiobiotics. Our bacteria have been pinned down by such weapons. We are losing ground every day, General.","Στρατηγέ, οι ντόπιοι αντιστέκονται με αντιβιοτικά πρώτης γενιάς. Τα βακτήρια μας έχουν καθηλωθεί από τέτοια όπλα. Χάνουμε έδαφος κάθε μέρα.","سيدي، السكان المحليون يقاومون بالمضادات الحيوية من الجيل الأول. لقد تم تقييد البكتيريا لدينا بواسطة هذه الأسلحة. نحن نخسر الأرض كل يوم، أيها جنرال.","Monsieur, les habitants se défendent avec des antibiotiques de première génération. Nos bactéries ont été immobilisées par de telles armes. Nous perdons du terrain chaque jour, Général."
SAY.Flowchart.172.Admiral HIV,,"Sir, my seamen have also encountered heavy resistance.","Στρατηγέ, οι ναυτικοί μου συνάντησαν επίσης σθεναρή αντίσταση.","سيدي، لقد واجهوا بحارتي أيضا مقاومة شديدة.","Monsieur, mes marins ont également rencontré une forte résistance."
SAY.Flowchart.173.General Gonorrhea,,Admiral HIV? I believed your viral troops were unaffected by such measures.,Ναύαρχε HIV; Πίστευα ότι τα ιικά σας στρατεύματα δεν επηρεάζονται από τέτοια μέτρα.,الأميرال فيروس نقص المناعة البشرية؟ اعتقدت أن قواتك الفيروسية لم تتأثر بمثل هذه الإجراءات.,Amiral HIV ? Je croyais que vos troupes virales n'étaient pas affectées par de telles mesures.
SAY.Flowchart.174.Admiral HIV,,"Yes, Sir. We are indeed impervious to antibiotics. However, our attack on the Penile Peninsula has been entirely blocked by a latex barrier; none of my ships can breach it.","Μάλιστα, κύριε. Είμαστε πράγματι αδιαπέραστοι από τα αντιβιοτικά. Ωστόσο, η επίθεσή μας στην πεϊκή χερσόνησο, έχει αποκλειστεί πλήρως από ένα λάτεξ φράγμα- κανένα από τα πλοία μου δεν μπορεί να το παραβιάσει.","نعم سيدي، نحن بالفعل نستطيع مقاومة المضادات الحيوية. ومع ذلك، فإن هجومنا على شبه جزيرة القضيب قد تم حظره بالكامل بواسطة حاجز من مادة اللاتكس. لا يمكن لأي من سفني خرقها","Oui, Monsieur. Nous sommes en effet imperméables aux antibiotiques. Cependant, notre attaque sur la péninsule pénienne a été entièrement bloquée par une barrière de latex ; aucun de mes vaisseaux ne peut la franchir. "
SAY.Flowchart.258.,,Act III - V-Day,Πράξη III - V-Day,الفصل الثالث- يوم النصر,Acte III -Jour de la Victoire
SAY.Flowchart.196.General Gonorrhea,,STIs... How did it come to this?,ΣΜΝ... Πώς έγινε αυτό;,أيتها الأمراض المنقولة جنسيا ... كيف وصلت الأمور إلى هذا الحال؟,Les MST... Comment en est-on arrivé là ?
SAY.Flowchart.197.Captain Crabs,,"Sir, the troops did their best. We managed to infest the area... but they saturated the forest with specialised creams and shampoos.","Στρατηγέ, τα στρατεύματα έκαναν ό,τι καλύτερο μπορούσαν. Καταφέραμε να μολύνουμε την περιοχή... αλλά διάβρεξαν το δάσος με ειδικές κρέμες και σαμπουάν.","سيدي، لقد بذل الجنود قصارى جهدهم. تمكنا من غزو المنطقة ... لكنهم غمروا الغابة بالكريمات والشامبو متخصصة. ","Monsieur, les troupes ont fait de leur mieux. Nous avons réussi à infester la zone... mais ils ont saturé la forêt de crèmes et de shampoings spécialisés."
SAY.Flowchart.469.Captain Crabs,,"We were... we were unable to hold the line, Sir. I am sorry.","Δεν μπορέσαμε να αντέξουμε, στρατηγέ. Λυπάμαι.",ولكننا ... لم نتمكن من الصمود يا سيدي. أنا آسف.,"Nous étions... nous étions incapables de tenir la ligne, Monsieur. Je suis désolé."
SAY.Flowchart.182.Admiral HIV,,"Yes! PrEP they call it. We are unable to invade, Sir. We are no longer combat-effective, Sir.","Ναι! Το αποκαλούν PrEP. Αδυνατούμε να εισβάλουμε, στρατηγέ. Δεν είμαστε πλέον αποτελεσματικοί στη μάχη.","أجل، يسمونها  الوقاية قبل التعرض للأمراض، نحن غير قادرين على الغزو يا سيدي. لم نعد فعالين في القتال يا سيدي.","Oui ! Ils appellent ça la PrEP. Nous sommes incapables d'envahir, Monsieur. Nous ne sommes plus efficaces au combat, Monsieur."
SAY.Flowchart.183.Captain Crabs,,"Sir, I believe we could help in this matter.","Στρατηγέ, πιστεύω ότι θα μπορούσαμε να βοηθήσουμε σε αυτό το θέμα.","سيدي، أعتقد أننا نستطيع المساعدة في هذا الأمر","Monsieur, je crois que nous pouvons vous aider dans cette affaire."
SAY.Flowchart.184.General Gonorrhea,,Captain Crabs! Nice to see from our proactive heavy artillery. What would you do?,Σμηναγέ Ψείρα! Χαίρομαι που βλέπω το ενεργό βαρύ πυροβολικό μας. Εσύ τι θα έκανες;,كابتن كرابس! جميل أن نرى من مدفعيتنا الثقيلة الاستباقية. ماذا كنت ستفعل؟,Capitaine Morpions ! C'est agréable à voir de la part de notre artillerie lourde proactive. Que voulez-vous faire ?
SAY.Flowchart.185.Captain Crabs,,"Admiral HIV, my troops are unaffected by this latex barrier and the medication you mentioned.","Ναύαρχε HIV, τα στρατεύματά μου δεν επηρεάζονται από αυτό το λατέξ φράγμα και τα φάρμακα που αναφέρατε.","الأميرال فيروس نقص المناعة البشرية، قواتي غير متأثرة بحاجز اللاتكس والأدوية التي ذكرتها.","Amiral HIV, mes troupes ne sont pas affectées par cette barrière de latex et les médicaments que vous avez mentionnés."
SAY.Flowchart.468.Captain Crabs,,"We might not be able to target the Penile peninsula itself, but we can crawl into the surrounding forested area, hide in it, and launch some very disrupting attacks from there.","Μπορεί να μην είμαστε σε θέση να στοχεύσουμε την πεΪκή χερσόνησο, αλλά μπορούμε να κρυφτούμε στη γύρω δασώδη περιοχή και να εξαπολύσουμε από εκεί μερικές πολύ αποδιοργανωτικές επιθέσεις.","قد لا نكون قادرين على استهداف شبه جزيرة القصيب نفسها، لكن يمكننا الزحف إلى منطقة الغابات المحيطة، والاختباء فيها، وشن بعض الهجمات المعطلة للغاية من هناك.","Nous ne pourrons peut-être pas cibler la péninsule pénienne elle-même, mais nous pouvons nous faufiler dans la zone forestière environnante, nous y cacher et lancer des attaques très perturbatrices à partir de là."
SAY.Flowchart.186.General Gonorrhea,,"Perfect. What would you be able to do from there, Captain?","Τέλεια. Τι θα μπορούσατε να κάνετε από εκεί, καπετάνιε;","هذا رائع، ماذا يمكنك أن تفعل من هناك، كابتن؟","Parfait. Que pourriez-vous faire de là, capitaine ?"
SAY.Flowchart.193.Captain Crabs,,Yes! Blue specks on the skin; that is indeed what we will do!,"Ναι! Μπλε στίγματα στο δέρμα, αυτό θα κάνουμε!",نعم! بقع زرقاء على الجلد. هذا بالضبط ما سنفعله!,"Oui, des taches bleues sur la peau, c'est bien ce que nous allons faire !"
SAY.Flowchart.194.General Gonorrhea,,"Okay, STIs. Let us hope this will be enough to clear the impasse we are on right now. Dismiss!","Εντάξει, σεξουαλικώς μεταδιδόμενα νοσήματα (ΣΜΝ). Ας ελπίσουμε ότι αυτό θα είναι αρκετό για να ξεπεράσουμε το αδιέξοδο στο οποίο βρισκόμαστε αυτή τη στιγμή. Ελεύθεροι!","حسنا، الأمراض المنقولة جنسيا. دعونا نأمل أن يكون هذا كافيا للخروج من المأزق الذي نحن فيه الآن. رفض!","Bon, les MST. Espérons que cela sera suffisant pour sortir de l'impasse dans laquelle nous nous trouvons actuellement. Rompez !"
SAY.Flowchart.204.Major Herpes,,"Painful urination, yes! However, we have been unable to do so now.","Επώδυνη ούρηση, ναι! Ωστόσο, δεν μπορέσαμε να το κάνουμε τώρα.","آلام التبول، نعم! ومع ذلك، لم نتمكن من القيام بذلك الآن","Une miction douloureuse, oui ! Cependant, nous n'avons pas été en mesure de le faire maintenant."
SAY.Flowchart.471.Major Herpes,,"The humans have strengthened their immune system, and they have stopped smoking and drinking alcohol. My forces were unable to produce another outbreak.",Οι άνθρωποι έχουν ενισχύσει το ανοσοποιητικό τους σύστημα και έχουν σταματήσει το κάπνισμα και την κατανάλωση αλκοόλ. Οι δυνάμεις μου δε μπόρεσαν να δημιουργήσουν και άλλη μία έξαρση.,"عزز البشر جهاز المناعة لديهم ، وتوقفوا عن التدخين وشرب الكحوليات. لم تكن قواتي قادرة على إحداث فاشية أخرى.","Les humains ont renforcé leur système immunitaire, et ils ont arrêté de fumer et de boire de l'alcool. Mes forces ont été incapables de produire une autre épidémie."
SAY.Flowchart.205.General Gonorrhea,,"Major Mycoplasma, you haven't said anything in a while. Do you have anything to add to this list of sorry excuses?","Ταγματάρχα Μυκόπλασμα, έχει ώρα να πεις κάτι. Έχεις τίποτα να προσθέσεις σε αυτές τις άθλιες δικαιολογίες;","الرائد المفطورة، أنت لم تقل أي شيء منذ فترة. هل لديك أي شيء تضيفه إلى قائمة الأعذار المؤسفة هذه؟","Majeur Mycoplasma, vous n'avez rien dit depuis un moment. Avez-vous quelque chose à ajouter à cette liste d'excuses désolées ?"
SAY.Flowchart.206.Major Mycoplasma,,"Sir, I am afraid I have no good news to report. We thought the humans would be unaware of our presence in the field; they haven't yet developed the technology to quickly identify us, you know.","Στρατηγέ, φοβάμαι ότι δεν έχω καλά νέα να σας αναφέρω. Νομίζαμε ότι οι άνθρωποι θα αγνοούσαν την παρουσία μας στο πεδίο- δεν έχουν αναπτύξει ακόμα την τεχνολογία για να μας αναγνωρίζουν γρήγορα, ξέρετε.","سيدي ، أخشى أنه ليس لدي أخبار جيدة للإبلاغ عنها. كنا نظن أن البشر لن يكونوا على دراية بوجودنا في الميدان؛ لم يطوروا بعد التكنولوجيا للتعرف علينا بسرعة، كما تعلم.","Monsieur, j'ai peur de n'avoir aucune bonne nouvelle à vous annoncer. Nous pensions que les humains ne seraient pas conscients de notre présence sur le terrain ; ils n'ont pas encore développé la technologie pour nous identifier rapidement, vous savez. "
SAY.Flowchart.213.Major Mycoplasma,,"Yes, bleeding after sex... But we failed, General. The antibiotics were too much for us. I am sorry, Sir.","Ναι, αιμορραγία μετά το σεξ... Αλλά αποτύχαμε, Στρατηγέ. Τα αντιβιοτικά ήταν πολύ ισχυρά. Λυπάμαι, στρατηγέ.",نعم نزيف بعد ممارسة الجنس .. لكننا فشلنا جنرال. كانت المضادات الحيوية أكثر من اللازم بالنسبة لنا. انا اسف سيدي.,"Oui, un saignement après un rapport sexuel... Mais nous avons échoué, Général. Les antibiotiques étaient trop forts pour nous. Je suis désolé, Monsieur."
SAY.Flowchart.214.General Gonorrhea,,That's it then! All our best efforts have not been enough to invade the human nation. It is time to recall the forces and retreat.,Αυτό είναι λοιπόν! Οι καλύτερες μας προσπάθειες δεν ήταν αρκετές για να εισβάλουμε στον ανθρώπινο οργανισμό. Ήρθε η ώρα να ανακαλέσουμε τις δυνάμεις μας και να υποχωρήσουμε.,هذا كل شيء بعد ذلك! لم تكن كل جهودنا كافية لغزو الأمة البشرية. حان الوقت لاستدعاء القوات والتراجع., C'est donc ça ! Tous nos efforts n'ont pas été suffisants pour envahir la nation humaine. Il est temps de rappeler les forces et de battre en retraite.
SAY.Flowchart.472.General Gonorrhea,,"We will wait for a time when humans get reckless with their defences, and we will strike again!",Θα περιμένουμε τη στιγμή που οι άνθρωποι θα γίνουν απερίσκεπτοι με τις άμυνές τους και θα ξαναχτυπήσουμε!,"سننتظر وقتا يتهور فيه البشر بدفاعاتهم، وسنضرب مرة أخرى! ","Nous attendrons le moment où les humains seront imprudents avec leurs défenses, et nous frapperons à nouveau ! "
SAY.Flowchart.216.,,Humanity was able to resist the invasion.,Η ανθρωπότητα μπόρεσε να αντισταθεί στην εισβολή.,كانت الإنسانية قادرة على مقاومة الغزو.,L'humanité a pu résister à l'invasion
SAY.Flowchart.217.,,But STIs are still out there.,Αλλά τα σεξουαλικώς μεταδιδόμενα νοσήματα (ΣΜΝ) εξακολουθούν να υπάρχουν εκεί έξω.,لكن الأمراض المنقولةجنسيا لا تزال موجودة.,Mais les MST existent toujours.
SAY.Flowchart.218.,,Learning... Evolving... Waiting…,Μαθαίνοντας... Σε συνεχή εξέλιξη... Αναμένοντας...,التعلم ... التطور ... الانتظار ...,Apprendre... Évoluer... Attendre...
SAY.Flowchart.219.,,We must remain vigilant.,Πρέπει να παραμένουμε σε εγρήγορση.,يجب أن نظل يقظين.,Nous devons rester vigilants
SAY.Flowchart.220.,,Our organs need us!,Τα όργανά μας μάς χρειάζονται!,أعضائنا بحاجة إلينا!,Nos organes ont besoin de nous !
SAY.Flowchart.269.Major Herpes,,"General, the most vulnerable areas are the... The... Hmmm…","Γενικά, οι πιο ευάλωτες περιοχές είναι οι.... Χμμμ...","عموما، المناطق الأكثر ضعفا هي ... ... هممم ...","Général, les zones les plus vulnérables sont... sont... hmmm...."
MENU.Flowchart.273,,Genitals and Anus,Τα γεννητικά όργανα και ο πρωκτός,الأعضاء التناسلية والشرج,Les organes génitaux et l'anus
MENU.Flowchart.274,,Throat and Genitals,O λαιμός και τα γεννητικά όργανα,الحلق والأعضاء التناسلية,Gorge et organes génitaux
MENU.Flowchart.275,,Eyes and Genitals,Τα μάτια και τα γεννητικά όργανα,العيون والأعضاء التناسلية,Yeux et organes génitaux
MENU.Flowchart.276,,"Eyes, Throat, Genitals and Anus","Τα μάτια, ο λαιμός, τα γεννητικά όργανα και ο πρωκτός",العيون والحلق والأعضاء التناسلية والشرج,"Yeux, gorge, organes génitaux et anus "
SAY.Flowchart.279.,,"That's not quite right, you're ruining the play. Give it another go.","Αυτό δεν είναι σωστό, καταστρέφεις την παράσταση. Κάνε άλλη μια προσπάθεια.","هذا ليس صحيحا تماما، أنت تفسد المسرحية. أعد مرة أخرى.","Ce n’est pas tout à fait juste, vous ruinez la pièce. Essayez encore."
SAY.Flowchart.285.,,"This is a live play, could you be a bit faster?","Αυτή είναι μία ζωντανή παράσταση, θα μπορούσατε να είστε λίγο πιο γρήγοροι;","هذه مسرحية حية، هل يمكن أن تكون أسرع قليلا؟","C’est une pièce en direct, pourriez-vous être un peu plus rapide ?"
SAY.Flowchart.412.Colonel Chlamydia,,"General, my troops are specially trained in undercover operations; the target might not even 
know we are there. However, if we do make our presence noted, we will... we will cause…","Στρατηγέ, τα στρατεύματά μου είναι ειδικά εκπαιδευμένα σε μυστικές επιχειρήσεις - ο αντίπαλος μπορεί και να μην ξέρει καν ότι είμαστε εκεί. Ωστόσο, αν κάνουμε αισθητή την παρουσία μας, θα.... θα προκαλέσουμε...","جنرال ، لقد تم تدريب قواتي بشكل خاص على العمليات السرية؛ قد لا يكون الهدف لا يعلم
 أننا هناك أصلا. ومع ذلك، إذا جعلنا وجودنا ملحوظا، فسنسبب ... ","Général, mes troupes sont spécialement entraînées aux opérations d'infiltration ; la cible pourrait ne même pas savoir que nous sommes là. Cependant, si nous faisons remarquer notre présence, nous allons... nous allons provoquer... "
MENU.Flowchart.290,,Night fevers and headaches,Νυχτερινό πυρετό και πονοκεφάλους,الحمى الليلية والصداع,Fièvres nocturnes et maux de tête
MENU.Flowchart.291,,Diarrhoea and stomach aches,Διάρροια και στομαχόπονους,الإسهال وآلام في المعدة,Diarrhée et maux d'estomac
MENU.Flowchart.292,,Painful urination and unusual discharge,Επώδυνη ούρηση και ασυνήθιστες εκκρίσεις,تبول مؤلم وإفرازات غير عادية,Miction douloureuse et écoulement inhabituel 
MENU.Flowchart.293,,Sneezing and coughing,Φτέρνισμα και βήχα,العطس والسعال,Éternuements et toux.
SAY.Flowchart.297.,,"That's not quite right, you're ruining the play. Give it another go.","Αυτό δεν είναι σωστό, καταστρέφεις την παράσταση. Κάνε άλλη μια προσπάθεια.","هذا ليس صحيحا تماما، أنت تفسد المسرحية. أعد مرة أخرى.","Ce n’est pas tout à fait juste, vous ruinez la pièce. Essayez encore."
SAY.Flowchart.300.,,"This is a live play, could you be a bit faster?","Αυτή είναι μία ζωντανή παράσταση, θα μπορούσατε να είστε λίγο πιο γρήγοροι;","هذه مسرحية حية، هل يمكن أن تكون أسرع قليلا؟","C’est une pièce en direct, pourriez-vous être un peu plus rapide ?"
SAY.Flowchart.414.Sergeant Syphilis,,"Yes, general. Sir, we have deployed around the Vaginal Valley.","Ναι, Στρατηγέ. Έχουμε αναπτυχθεί γύρω από την κολπική κοιλάδα.","نعم ، عام. سيدي ، لقد انتشرنا حول وادي المهبل.","Oui, général. Monsieur, nous nous sommes déployés autour de la vallée du Vagin. "
SAY.Flowchart.466.Sergeant Syphilis,,"We were expecting to generate a 
rash on the palms of the hands and the soles of feet, fever, and to cause sores around the... The…","Περιμέναμε να δημιουργήσουμε εξανθήματα στις παλάμες των χεριών και στα πέλματα των ποδιών, πυρετό και να προκαλέσουμε ερεθισμούς γύρω από...από...",كنا نتوقع حدوث طفح جلدي على راحتي اليدين وباطن القدمين والحمى والتسبب في تقرحات حول ...,"Nous nous attendions à générer une éruption cutanée sur la paume des mains et la plante des pieds, de la fièvre, et à provoquer des plaies autour du... du... "
MENU.Flowchart.304,,Eyes,Τα μάτια,العينين,Les yeux
MENU.Flowchart.305,,Hands and feet,Τα χέρια και τα πόδια,الأيادي و الأرجل,Mains et pieds
MENU.Flowchart.306,,"Penis, vagina, and anus","Το πέος, τον κόλπο και τον πρωκτό","القضيب، المهبل والشرج","Pénis, vagin et anus"
MENU.Flowchart.307,,"Mouth, penis, vagina, and anus","Το στόμα, το πέος, τον κόλπο και  τον πρωκτό","الفم، القضيب، المهبل والشرج","Bouche, pénis, vagin et anus "
SAY.Flowchart.313.,,"That's not quite right, you're ruining the play. Give it another go.","Αυτό δεν είναι σωστό, καταστρέφεις την παράσταση. Κάνε άλλη μια προσπάθεια.","هذا ليس صحيحا تماما، أنت تفسد المسرحية. أعد مرة أخرى.","Ce n’est pas tout à fait juste, vous ruinez la pièce. Essayez encore."
SAY.Flowchart.316.,,"This is a live play, could you be a bit faster?","Αυτή είναι μία ζωντανή παράσταση, θα μπορούσατε να είστε λίγο πιο γρήγοροι;","هذه مسرحية حية، هل يمكن أن تكون أسرع قليلا؟","C’est une pièce en direct, pourriez-vous être un peu plus rapide ?"
SAY.Flowchart.416.Admiral HIV,,Even if we manage to push through... we just cannot land; the defensive forces have been receiving a constant influx of... Of…,Ακόμα κι αν καταφέρουμε να προχωρήσουμε... δε μπορούμε να αποβιβάσουμε τις δυνάμεις. Οι αμυντικές δυνάμεις δέχονται μια συνεχή εισροή από... Από…,حتى لو تمكنا من المضي قدما ... لا يمكننا الهبوط؛ كانت القوات الدفاعية تتلقى تدفقات مستمرة من ... من ...,. Même si nous parvenons à passer... nous ne pouvons pas atterrir ; les forces défensives ont reçu un afflux constant de... de... 
MENU.Flowchart.319,,Pre-Exposure Prophylaxis,Προφύλαξη πριν από την έκθεση,الوقاية من التعرض المسبق للأمراض,Prophylaxie pré-exposition 
MENU.Flowchart.320,,Post-Exposure Prophylaxis,Πρόληψη μετά την έκθεση,الوقاية بعد التعرض للأمراض,Prophylaxie post-exposition
MENU.Flowchart.321,,Third generation antibiotics,Αντιβιοτικά τρίτης γενιάς,الجيل الثالث من المضادات الحيوية,Antibiotiques de troisième génération
MENU.Flowchart.322,,Azidothymidine,Αζιδοθυμιδίνη,أزيدوثيميدين,Azidothymidine
SAY.Flowchart.331.,,"That's not quite right, you're ruining the play. Give it another go.","Αυτό δεν είναι σωστό, καταστρέφεις την παράσταση. Κάνε άλλη μια προσπάθεια.","هذا ليس صحيحا تماما، أنت تفسد المسرحية. أعد مرة أخرى.","Ce n’est pas tout à fait juste, vous ruinez la pièce. Essayez encore."
SAY.Flowchart.339.,,"This is a live play, could you be a bit faster?","Αυτή είναι μία ζωντανή δραστηριότητα, θα μπορούσατε να είστε λίγο πιο γρήγοροι;","هذه مسرحية حية، هل يمكن أن تكون أسرع قليلا؟","C’est une pièce en direct, pourriez-vous être un peu plus rapide ?"
